ID	Site	Polygon	Site_ID	St	At	RH	Slope	DEM	Aspect	Soil	MSI	NDVI	Bt
P5-Sg1	For	P5	P5For	24.2	16.8	42.51036	4.52019	2837	198.43495	1	0.74004	0.36725	24.2
P5-Sg2	For	P5	P5For	17.7	18.3	42.51209	0	2838	0	1	0.73595	0.27956	26.2
P5-Sg3	For	P5	P5For	26.6	22.9	42.50708	13.90027	2838	225	1	0.77509	0.43424	32.5
P5-Sg5	For	P5	P5For	26.3	23.6	42.5088	22.47997	2832	244.98311	1	0.78066	0.54795	31.2
P5-Sg6	For	P5	P5For	26.3	23.6	42.5088	22.47997	2832	244.98311	1	0.78066	0.54795	23.9
P5-Sg7	For	P5	P5For	26.3	23.6	42.5088	22.47997	2832	244.98311	1	0.78066	0.54795	30.6
P5-Sg10	For	P5	P5For	27	19	42.54927	5.88509	2773	14.03625	1	0.58	0.3947	32.2
P5-Sg11	For	P5	P5For	27	19	42.54927	5.88509	2773	14.03625	1	0.58	0.3947	29.2
P5-Sg12	For	P5	P5For	27	19	42.54927	5.88509	2773	14.03625	1	0.58	0.3947	32.5
P5-Sg13	For	P5	P5For	27	19	42.54927	5.88509	2773	14.03625	1	0.58	0.3947	31.2
P5-Sg14	For	P5	P5For	20.3	20.7	42.55218	9.87599	2775	68.96249	1	0.84189	0.41132	31.3
P5-Sg15	For	P5	P5For	20.3	20.7	42.55218	9.87599	2775	68.96249	1	0.84189	0.41132	32.9
P5-Sg16	For	P5	P5For	20.3	20.7	42.55218	9.87599	2775	68.96249	1	0.84189	0.41132	30.8
P5-Sg17	For	P5	P5For	20.3	20.7	42.55218	9.87599	2775	68.96249	1	0.84189	0.41132	25.6
P5-Sg18	For	P5	P5For	20.3	20.7	42.55218	9.87599	2775	68.96249	1	0.84189	0.41132	31.6
P5-O1	Agr	P5	P5Agr	27.5	21.9	34.2	8.98442	2865	71.56505	1	0.73116	0.55065	33.2
P5-O2	Agr	P5	P5Agr	27.5	21.9	34.2	8.98442	2868	71.56505	1	0.73116	0.55065	30.3
P5-O3	Agr	P5	P5Agr	28.9	21.6	34.2	8.98442	2868	71.56505	1	0.73116	0.55065	32.4
P5-O4	Agr	P5	P5Agr	39.5	30.8	38	0	2879	0	3	1.23258	0.16515	30.8
P5-O5	Agr	P5	P5Agr	24.6	25.4	36.8	3.64695	2879	11.30993	3	1.19197	0.22419	30.8
P5-O6	Agr	P5	P5Agr	24.6	25.4	36.8	3.64695	2879	11.30993	3	1.19197	0.22419	30.8
P5-O8	Agr	P5	P5Agr	19.3	18	35.5	2.26352	2883	71.56505	3	1.29479	0.32538	24.6
P5-O9	Agr	P5	P5Agr	21.9	21	37.9	2.26352	2890	108.43495	4	1.2563	0.44437	30.8
P5-O10	Agr	P5	P5Agr	19.6	19.6	36	7.05392	2883	45	1	0.86696	0.51008	34.6
P5-O11	Agr	P5	P5Agr	24.2	21.1	30.9	2.8624	2890	180	3	0.69883	0.4213	31.9
P5-O12	Agr	P5	P5Agr	24.2	21.1	30.5	3.03563	2890	225	4	0.83755	0.52762	26.8
P5-O13	Agr	P5	P5Agr	20	16.2	68.6	2.8624	2834	0	1	1.11159	0.4629	30.8
P5-O14	Agr	P5	P5Agr	24.9	19.1	48.3	3.03563	2806	135	3	1.03208	0.40904	30.6
P5-O15	Agr	P5	P5Agr	21.1	15.9	48.3	3.03563	2806	135	3	1.03208	0.40904	31.1
P5-O17	Agr	P5	P5Agr	34.2	26.2	33	32.64049	2814	72.97948	3	1.60076	0.18506	32.6
